Search keyword report
"October 1, 2025 - March 8, 2026"
Month,Keyword status,Keyword,Match type,Campaign,Ad group,Status,Status reasons,Currency code,Max. CPC,Final URL,Interactions,Interaction rate,Avg. cost,Cost,Impr.,Clicks,Conv. rate,Conversions,Avg. CPC,Cost / conv.
February 2026,Paused,"""algorithmic pricing engine""",Phrase match,exact,Exact,Paused,paused,USD,15.00,,0, --,0,0.00,0,0,0.00%,0.00,0,0.00
March 2026,Paused,"""algorithmic pricing engine""",Phrase match,exact,Exact,Paused,paused,USD,15.00,,0, --,0,0.00,0,0,0.00%,0.00,0,0.00
October 2025,Paused,"""dtc pricing""",Phrase match,exact,Exact,Paused,paused,USD,15.00,,0, --,0,0.00,0,0,0.00%,0.00,0,0.00
November 2025,Paused,"""dtc pricing""",Phrase match,exact,Exact,Paused,paused,USD,15.00,,0, --,0,0.00,0,0,0.00%,0.00,0,0.00
December 2025,Paused,"""dtc pricing""",Phrase match,exact,Exact,Paused,paused,USD,15.00,,0, --,0,0.00,0,0,0.00%,0.00,0,0.00
January 2026,Paused,"""dtc pricing""",Phrase match,exact,Exact,Paused,paused,USD,15.00,,0, --,0,0.00,0,0,0.00%,0.00,0,0.00
February 2026,Paused,"""dtc pricing""",Phrase match,exact,Exact,Paused,paused,USD,15.00,,0, --,0,0.00,0,0,0.00%,0.00,0,0.00
March 2026,Paused,"""dtc pricing""",Phrase match,exact,Exact,Paused,paused,USD,15.00,,0, --,0,0.00,0,0,0.00%,0.00,0,0.00
October 2025,Paused,"""omnichannel pricing tools""",Phrase match,exact,Exact,Paused,paused,USD,15.00,,0, --,0,0.00,0,0,0.00%,0.00,0,0.00
November 2025,Paused,"""omnichannel pricing tools""",Phrase match,exact,Exact,Paused,paused,USD,15.00,,0, --,0,0.00,0,0,0.00%,0.00,0,0.00
December 2025,Paused,"""omnichannel pricing tools""",Phrase match,exact,Exact,Paused,paused,USD,15.00,,0, --,0,0.00,0,0,0.00%,0.00,0,0.00
January 2026,Paused,"""omnichannel pricing tools""",Phrase match,exact,Exact,Paused,paused,USD,15.00,,0, --,0,0.00,0,0,0.00%,0.00,0,0.00
February 2026,Paused,"""omnichannel pricing tools""",Phrase match,exact,Exact,Paused,paused,USD,15.00,,0, --,0,0.00,0,0,0.00%,0.00,0,0.00
March 2026,Paused,"""omnichannel pricing tools""",Phrase match,exact,Exact,Paused,paused,USD,15.00,,0, --,0,0.00,0,0,0.00%,0.00,0,0.00
October 2025,Paused,"""price elasticity strategies""",Phrase match,exact,Exact,Paused,paused,USD,15.00,,0, --,0,0.00,0,0,0.00%,0.00,0,0.00
November 2025,Paused,"""price elasticity strategies""",Phrase match,exact,Exact,Paused,paused,USD,15.00,,0, --,0,0.00,0,0,0.00%,0.00,0,0.00
December 2025,Paused,"""price elasticity strategies""",Phrase match,exact,Exact,Paused,paused,USD,15.00,,0, --,0,0.00,0,0,0.00%,0.00,0,0.00
January 2026,Paused,"""price elasticity strategies""",Phrase match,exact,Exact,Paused,paused,USD,15.00,,0, --,0,0.00,0,0,0.00%,0.00,0,0.00
February 2026,Paused,"""price elasticity strategies""",Phrase match,exact,Exact,Paused,paused,USD,15.00,,0, --,0,0.00,0,0,0.00%,0.00,0,0.00
March 2026,Paused,"""price elasticity strategies""",Phrase match,exact,Exact,Paused,paused,USD,15.00,,0, --,0,0.00,0,0,0.00%,0.00,0,0.00
October 2025,Paused,"""price elasticity model""",Phrase match,exact,Exact,Paused,paused,USD,15.00,,0, --,0,0.00,0,0,0.00%,0.00,0,0.00
November 2025,Paused,"""price elasticity model""",Phrase match,exact,Exact,Paused,paused,USD,15.00,,0, --,0,0.00,0,0,0.00%,0.00,0,0.00
December 2025,Paused,"""price elasticity model""",Phrase match,exact,Exact,Paused,paused,USD,15.00,,0, --,0,0.00,0,0,0.00%,0.00,0,0.00
January 2026,Paused,"""price elasticity model""",Phrase match,exact,Exact,Paused,paused,USD,15.00,,0, --,0,0.00,0,0,0.00%,0.00,0,0.00
February 2026,Paused,"""price elasticity model""",Phrase match,exact,Exact,Paused,paused,USD,15.00,,0, --,0,0.00,0,0,0.00%,0.00,0,0.00
March 2026,Paused,"""price elasticity model""",Phrase match,exact,Exact,Paused,paused,USD,15.00,,0, --,0,0.00,0,0,0.00%,0.00,0,0.00
October 2025,Paused,"""price elasticity module""",Phrase match,exact,Exact,Paused,paused,USD,15.00,,0, --,0,0.00,0,0,0.00%,0.00,0,0.00
November 2025,Paused,"""price elasticity module""",Phrase match,exact,Exact,Paused,paused,USD,15.00,,0, --,0,0.00,0,0,0.00%,0.00,0,0.00
December 2025,Paused,"""price elasticity module""",Phrase match,exact,Exact,Paused,paused,USD,15.00,,0, --,0,0.00,0,0,0.00%,0.00,0,0.00
January 2026,Paused,"""price elasticity module""",Phrase match,exact,Exact,Paused,paused,USD,15.00,,0, --,0,0.00,0,0,0.00%,0.00,0,0.00
February 2026,Paused,"""price elasticity module""",Phrase match,exact,Exact,Paused,paused,USD,15.00,,0, --,0,0.00,0,0,0.00%,0.00,0,0.00
March 2026,Paused,"""price elasticity module""",Phrase match,exact,Exact,Paused,paused,USD,15.00,,0, --,0,0.00,0,0,0.00%,0.00,0,0.00
October 2025,Paused,"""price elasticity platform""",Phrase match,exact,Exact,Paused,paused,USD,15.00,,0, --,0,0.00,0,0,0.00%,0.00,0,0.00
November 2025,Paused,"""price elasticity platform""",Phrase match,exact,Exact,Paused,paused,USD,15.00,,0, --,0,0.00,0,0,0.00%,0.00,0,0.00
December 2025,Paused,"""price elasticity platform""",Phrase match,exact,Exact,Paused,paused,USD,15.00,,0, --,0,0.00,0,0,0.00%,0.00,0,0.00
January 2026,Paused,"""price elasticity platform""",Phrase match,exact,Exact,Paused,paused,USD,15.00,,0, --,0,0.00,0,0,0.00%,0.00,0,0.00
February 2026,Paused,"""price elasticity platform""",Phrase match,exact,Exact,Paused,paused,USD,15.00,,0, --,0,0.00,0,0,0.00%,0.00,0,0.00
March 2026,Paused,"""price elasticity platform""",Phrase match,exact,Exact,Paused,paused,USD,15.00,,0, --,0,0.00,0,0,0.00%,0.00,0,0.00
October 2025,Paused,"""price elasticity software""",Phrase match,exact,Exact,Paused,paused,USD,15.00,,0, --,0,0.00,0,0,0.00%,0.00,0,0.00
November 2025,Paused,"""price elasticity software""",Phrase match,exact,Exact,Paused,paused,USD,15.00,,0, --,0,0.00,0,0,0.00%,0.00,0,0.00
December 2025,Paused,"""price elasticity software""",Phrase match,exact,Exact,Paused,paused,USD,15.00,,0, --,0,0.00,0,0,0.00%,0.00,0,0.00
January 2026,Paused,"""price elasticity software""",Phrase match,exact,Exact,Paused,paused,USD,15.00,,0, --,0,0.00,0,0,0.00%,0.00,0,0.00
February 2026,Paused,"""price elasticity software""",Phrase match,exact,Exact,Paused,paused,USD,15.00,,0, --,0,0.00,0,0,0.00%,0.00,0,0.00
March 2026,Paused,"""price elasticity software""",Phrase match,exact,Exact,Paused,paused,USD,15.00,,0, --,0,0.00,0,0,0.00%,0.00,0,0.00
October 2025,Paused,"""price elasticity feature""",Phrase match,exact,Exact,Paused,paused,USD,15.00,,0, --,0,0.00,0,0,0.00%,0.00,0,0.00
November 2025,Paused,"""price elasticity feature""",Phrase match,exact,Exact,Paused,paused,USD,15.00,,0, --,0,0.00,0,0,0.00%,0.00,0,0.00
December 2025,Paused,"""price elasticity feature""",Phrase match,exact,Exact,Paused,paused,USD,15.00,,0, --,0,0.00,0,0,0.00%,0.00,0,0.00
January 2026,Paused,"""price elasticity feature""",Phrase match,exact,Exact,Paused,paused,USD,15.00,,0, --,0,0.00,0,0,0.00%,0.00,0,0.00
February 2026,Paused,"""price elasticity feature""",Phrase match,exact,Exact,Paused,paused,USD,15.00,,0, --,0,0.00,0,0,0.00%,0.00,0,0.00
March 2026,Paused,"""price elasticity feature""",Phrase match,exact,Exact,Paused,paused,USD,15.00,,0, --,0,0.00,0,0,0.00%,0.00,0,0.00
October 2025,Paused,"""Revenue management platform""",Phrase match,exact,Exact,Paused,paused,USD,15.00,,0, --,0,0.00,0,0,0.00%,0.00,0,0.00
November 2025,Paused,"""Revenue management platform""",Phrase match,exact,Exact,Paused,paused,USD,15.00,,0, --,0,0.00,0,0,0.00%,0.00,0,0.00
December 2025,Paused,"""Revenue management platform""",Phrase match,exact,Exact,Paused,paused,USD,15.00,,0, --,0,0.00,0,0,0.00%,0.00,0,0.00
January 2026,Paused,"""Revenue management platform""",Phrase match,exact,Exact,Paused,paused,USD,15.00,,0, --,0,0.00,0,0,0.00%,0.00,0,0.00
February 2026,Paused,"""Revenue management platform""",Phrase match,exact,Exact,Paused,paused,USD,15.00,,0, --,0,0.00,0,0,0.00%,0.00,0,0.00
March 2026,Paused,"""Revenue management platform""",Phrase match,exact,Exact,Paused,paused,USD,15.00,,0, --,0,0.00,0,0,0.00%,0.00,0,0.00
October 2025,Paused,"""Pricing Tool for Retailers""",Phrase match,exact,Exact,Paused,paused,USD,15.00,https://quicklizard.com/blog/a-new-pricing-tool-top-tips-on-what-to-consider-when-looking-for-a-pricing-tool?utm_campaign=Lead%20generation%20search&utm_source=ppc&utm_medium=Keywords&utm_term=ad_group_phrase,0, --,0,0.00,0,0,0.00%,0.00,0,0.00
November 2025,Paused,"""Pricing Tool for Retailers""",Phrase match,exact,Exact,Paused,paused,USD,15.00,https://quicklizard.com/blog/a-new-pricing-tool-top-tips-on-what-to-consider-when-looking-for-a-pricing-tool?utm_campaign=Lead%20generation%20search&utm_source=ppc&utm_medium=Keywords&utm_term=ad_group_phrase,0, --,0,0.00,0,0,0.00%,0.00,0,0.00
December 2025,Paused,"""Pricing Tool for Retailers""",Phrase match,exact,Exact,Paused,paused,USD,15.00,https://quicklizard.com/blog/a-new-pricing-tool-top-tips-on-what-to-consider-when-looking-for-a-pricing-tool?utm_campaign=Lead%20generation%20search&utm_source=ppc&utm_medium=Keywords&utm_term=ad_group_phrase,0, --,0,0.00,0,0,0.00%,0.00,0,0.00
January 2026,Paused,"""Pricing Tool for Retailers""",Phrase match,exact,Exact,Paused,paused,USD,15.00,https://quicklizard.com/blog/a-new-pricing-tool-top-tips-on-what-to-consider-when-looking-for-a-pricing-tool?utm_campaign=Lead%20generation%20search&utm_source=ppc&utm_medium=Keywords&utm_term=ad_group_phrase,0, --,0,0.00,0,0,0.00%,0.00,0,0.00
February 2026,Paused,"""Pricing Tool for Retailers""",Phrase match,exact,Exact,Paused,paused,USD,15.00,https://quicklizard.com/blog/a-new-pricing-tool-top-tips-on-what-to-consider-when-looking-for-a-pricing-tool?utm_campaign=Lead%20generation%20search&utm_source=ppc&utm_medium=Keywords&utm_term=ad_group_phrase,0, --,0,0.00,0,0,0.00%,0.00,0,0.00
March 2026,Paused,"""Pricing Tool for Retailers""",Phrase match,exact,Exact,Paused,paused,USD,15.00,https://quicklizard.com/blog/a-new-pricing-tool-top-tips-on-what-to-consider-when-looking-for-a-pricing-tool?utm_campaign=Lead%20generation%20search&utm_source=ppc&utm_medium=Keywords&utm_term=ad_group_phrase,0, --,0,0.00,0,0,0.00%,0.00,0,0.00
October 2025,Paused,"""retail automated pricing""",Phrase match,exact,Exact,Paused,paused,USD,15.00,,0, --,0,0.00,0,0,0.00%,0.00,0,0.00
November 2025,Paused,"""retail automated pricing""",Phrase match,exact,Exact,Paused,paused,USD,15.00,,0, --,0,0.00,0,0,0.00%,0.00,0,0.00
December 2025,Paused,"""retail automated pricing""",Phrase match,exact,Exact,Paused,paused,USD,15.00,,0, --,0,0.00,0,0,0.00%,0.00,0,0.00
January 2026,Paused,"""retail automated pricing""",Phrase match,exact,Exact,Paused,paused,USD,15.00,,0, --,0,0.00,0,0,0.00%,0.00,0,0.00
February 2026,Paused,"""retail automated pricing""",Phrase match,exact,Exact,Paused,paused,USD,15.00,,0, --,0,0.00,0,0,0.00%,0.00,0,0.00
March 2026,Paused,"""retail automated pricing""",Phrase match,exact,Exact,Paused,paused,USD,15.00,,0, --,0,0.00,0,0,0.00%,0.00,0,0.00
October 2025,Paused,"""open pricing software""",Phrase match,exact,Exact,Paused,paused,USD,15.00,,0, --,0,0.00,0,0,0.00%,0.00,0,0.00
November 2025,Paused,"""open pricing software""",Phrase match,exact,Exact,Paused,paused,USD,15.00,,0, --,0,0.00,0,0,0.00%,0.00,0,0.00
December 2025,Paused,"""open pricing software""",Phrase match,exact,Exact,Paused,paused,USD,15.00,,0, --,0,0.00,0,0,0.00%,0.00,0,0.00
January 2026,Paused,"""open pricing software""",Phrase match,exact,Exact,Paused,paused,USD,15.00,,0, --,0,0.00,0,0,0.00%,0.00,0,0.00
February 2026,Paused,"""open pricing software""",Phrase match,exact,Exact,Paused,paused,USD,15.00,,0, --,0,0.00,0,0,0.00%,0.00,0,0.00
March 2026,Paused,"""open pricing software""",Phrase match,exact,Exact,Paused,paused,USD,15.00,,0, --,0,0.00,0,0,0.00%,0.00,0,0.00
October 2025,Paused,"""d2c pricing platform""",Phrase match,exact,Exact,Paused,paused; rarely served,USD,15.00,,0, --,0,0.00,0,0,0.00%,0.00,0,0.00
November 2025,Paused,"""d2c pricing platform""",Phrase match,exact,Exact,Paused,paused; rarely served,USD,15.00,,0, --,0,0.00,0,0,0.00%,0.00,0,0.00
December 2025,Paused,"""d2c pricing platform""",Phrase match,exact,Exact,Paused,paused; rarely served,USD,15.00,,0, --,0,0.00,0,0,0.00%,0.00,0,0.00
January 2026,Paused,"""d2c pricing platform""",Phrase match,exact,Exact,Paused,paused; rarely served,USD,15.00,,0, --,0,0.00,0,0,0.00%,0.00,0,0.00
February 2026,Paused,"""d2c pricing platform""",Phrase match,exact,Exact,Paused,paused; rarely served,USD,15.00,,0, --,0,0.00,0,0,0.00%,0.00,0,0.00
March 2026,Paused,"""d2c pricing platform""",Phrase match,exact,Exact,Paused,paused; rarely served,USD,15.00,,0, --,0,0.00,0,0,0.00%,0.00,0,0.00
October 2025,Paused,"""b2c pricing platform""",Phrase match,exact,Exact,Paused,paused; rarely served,USD,15.00,,0, --,0,0.00,0,0,0.00%,0.00,0,0.00
November 2025,Paused,"""b2c pricing platform""",Phrase match,exact,Exact,Paused,paused; rarely served,USD,15.00,,0, --,0,0.00,0,0,0.00%,0.00,0,0.00
December 2025,Paused,"""b2c pricing platform""",Phrase match,exact,Exact,Paused,paused; rarely served,USD,15.00,,0, --,0,0.00,0,0,0.00%,0.00,0,0.00
January 2026,Paused,"""b2c pricing platform""",Phrase match,exact,Exact,Paused,paused; rarely served,USD,15.00,,0, --,0,0.00,0,0,0.00%,0.00,0,0.00
