Month,Keyword status,Keyword,Max. CPC,Interactions,Interaction rate,Avg. cost,Cost,Impressions,Clicks,Conv. rate,Conversions,Avg. CPC,Cost / conv.
Mar-26,Paused,"""omnichannel pricing system""",15,0, --,0,0,0,0,0.00%,0,0,0
Oct-25,Paused,"""price elasticity system""",15,0, --,0,0,0,0,0.00%,0,0,0
Nov-25,Paused,"""price elasticity system""",15,0, --,0,0,0,0,0.00%,0,0,0
Dec-25,Paused,"""price elasticity system""",15,0, --,0,0,0,0,0.00%,0,0,0
Jan-26,Paused,"""price elasticity system""",15,0, --,0,0,0,0,0.00%,0,0,0
Feb-26,Paused,"""price elasticity system""",15,0, --,0,0,0,0,0.00%,0,0,0
Mar-26,Paused,"""price elasticity system""",15,0, --,0,0,0,0,0.00%,0,0,0
Oct-25,Paused,"""algorithmic pricing system""",15,0, --,0,0,0,0,0.00%,0,0,0
Nov-25,Paused,"""algorithmic pricing system""",15,0, --,0,0,0,0,0.00%,0,0,0
Dec-25,Paused,"""algorithmic pricing system""",15,0, --,0,0,0,0,0.00%,0,0,0
Jan-26,Paused,"""algorithmic pricing system""",15,0, --,0,0,0,0,0.00%,0,0,0
Feb-26,Paused,"""algorithmic pricing system""",15,0, --,0,0,0,0,0.00%,0,0,0
Mar-26,Paused,"""algorithmic pricing system""",15,0, --,0,0,0,0,0.00%,0,0,0
Oct-25,Paused,"""markdown pricing system""",15,0, --,0,0,0,0,0.00%,0,0,0
Nov-25,Paused,"""markdown pricing system""",15,0, --,0,0,0,0,0.00%,0,0,0
Dec-25,Paused,"""markdown pricing system""",15,0, --,0,0,0,0,0.00%,0,0,0
Jan-26,Paused,"""markdown pricing system""",15,0, --,0,0,0,0,0.00%,0,0,0
Feb-26,Paused,"""markdown pricing system""",15,0, --,0,0,0,0,0.00%,0,0,0
Mar-26,Paused,"""markdown pricing system""",15,0, --,0,0,0,0,0.00%,0,0,0
Oct-25,Paused,"""algorithmic pricing tools""",15,0, --,0,0,0,0,0.00%,0,0,0
Nov-25,Paused,"""algorithmic pricing tools""",15,0, --,0,0,0,0,0.00%,0,0,0
Dec-25,Paused,"""algorithmic pricing tools""",15,0, --,0,0,0,0,0.00%,0,0,0
Jan-26,Paused,"""algorithmic pricing tools""",15,0, --,0,0,0,0,0.00%,0,0,0
Feb-26,Paused,"""algorithmic pricing tools""",15,0, --,0,0,0,0,0.00%,0,0,0
Mar-26,Paused,"""algorithmic pricing tools""",15,0, --,0,0,0,0,0.00%,0,0,0
Oct-25,Paused,"""algorithmic pricing platform""",15,0, --,0,0,0,0,0.00%,0,0,0
Nov-25,Paused,"""algorithmic pricing platform""",15,0, --,0,0,0,0,0.00%,0,0,0
Dec-25,Paused,"""algorithmic pricing platform""",15,0, --,0,0,0,0,0.00%,0,0,0
Jan-26,Paused,"""algorithmic pricing platform""",15,0, --,0,0,0,0,0.00%,0,0,0
Feb-26,Paused,"""algorithmic pricing platform""",15,0, --,0,0,0,0,0.00%,0,0,0
Mar-26,Paused,"""algorithmic pricing platform""",15,0, --,0,0,0,0,0.00%,0,0,0
Oct-25,Paused,"""markdown pricing engine""",15,0, --,0,0,0,0,0.00%,0,0,0
Nov-25,Paused,"""markdown pricing engine""",15,0, --,0,0,0,0,0.00%,0,0,0
Dec-25,Paused,"""markdown pricing engine""",15,0, --,0,0,0,0,0.00%,0,0,0
Jan-26,Paused,"""markdown pricing engine""",15,0, --,0,0,0,0,0.00%,0,0,0
Feb-26,Paused,"""markdown pricing engine""",15,0, --,0,0,0,0,0.00%,0,0,0
Mar-26,Paused,"""markdown pricing engine""",15,0, --,0,0,0,0,0.00%,0,0,0
Oct-25,Paused,"""retail pricing engine""",15,0, --,0,0,0,0,0.00%,0,0,0
Nov-25,Paused,"""retail pricing engine""",15,0, --,0,0,0,0,0.00%,0,0,0
Dec-25,Paused,"""retail pricing engine""",15,0, --,0,0,0,0,0.00%,0,0,0
Jan-26,Paused,"""retail pricing engine""",15,0, --,0,0,0,0,0.00%,0,0,0
Feb-26,Paused,"""retail pricing engine""",15,0, --,0,0,0,0,0.00%,0,0,0
Mar-26,Paused,"""retail pricing engine""",15,0, --,0,0,0,0,0.00%,0,0,0
Oct-25,Paused,"""omnichannel pricing engine""",15,0, --,0,0,0,0,0.00%,0,0,0
Nov-25,Paused,"""omnichannel pricing engine""",15,0, --,0,0,0,0,0.00%,0,0,0
Dec-25,Paused,"""omnichannel pricing engine""",15,0, --,0,0,0,0,0.00%,0,0,0
Jan-26,Paused,"""omnichannel pricing engine""",15,0, --,0,0,0,0,0.00%,0,0,0
Feb-26,Paused,"""omnichannel pricing engine""",15,0, --,0,0,0,0,0.00%,0,0,0
Mar-26,Paused,"""omnichannel pricing engine""",15,0, --,0,0,0,0,0.00%,0,0,0
Oct-25,Paused,"""price elasticity engine""",15,0, --,0,0,0,0,0.00%,0,0,0
Nov-25,Paused,"""price elasticity engine""",15,0, --,0,0,0,0,0.00%,0,0,0
Dec-25,Paused,"""price elasticity engine""",15,0, --,0,0,0,0,0.00%,0,0,0
Jan-26,Paused,"""price elasticity engine""",15,0, --,0,0,0,0,0.00%,0,0,0
Feb-26,Paused,"""price elasticity engine""",15,0, --,0,0,0,0,0.00%,0,0,0
Mar-26,Paused,"""price elasticity engine""",15,0, --,0,0,0,0,0.00%,0,0,0
Oct-25,Paused,"""algorithmic pricing engine""",15,0, --,0,0,0,0,0.00%,0,0,0
Nov-25,Paused,"""algorithmic pricing engine""",15,0, --,0,0,0,0,0.00%,0,0,0
Dec-25,Paused,"""algorithmic pricing engine""",15,0, --,0,0,0,0,0.00%,0,0,0
Jan-26,Paused,"""algorithmic pricing engine""",15,0, --,0,0,0,0,0.00%,0,0,0
Feb-26,Paused,"""algorithmic pricing engine""",15,0, --,0,0,0,0,0.00%,0,0,0
Mar-26,Paused,"""algorithmic pricing engine""",15,0, --,0,0,0,0,0.00%,0,0,0
Oct-25,Paused,"""dtc pricing""",15,0, --,0,0,0,0,0.00%,0,0,0
Nov-25,Paused,"""dtc pricing""",15,0, --,0,0,0,0,0.00%,0,0,0
Dec-25,Paused,"""dtc pricing""",15,0, --,0,0,0,0,0.00%,0,0,0
Jan-26,Paused,"""dtc pricing""",15,0, --,0,0,0,0,0.00%,0,0,0
Feb-26,Paused,"""dtc pricing""",15,0, --,0,0,0,0,0.00%,0,0,0
Mar-26,Paused,"""dtc pricing""",15,0, --,0,0,0,0,0.00%,0,0,0
Oct-25,Paused,"""omnichannel pricing tools""",15,0, --,0,0,0,0,0.00%,0,0,0
Nov-25,Paused,"""omnichannel pricing tools""",15,0, --,0,0,0,0,0.00%,0,0,0
Dec-25,Paused,"""omnichannel pricing tools""",15,0, --,0,0,0,0,0.00%,0,0,0
Jan-26,Paused,"""omnichannel pricing tools""",15,0, --,0,0,0,0,0.00%,0,0,0
Feb-26,Paused,"""omnichannel pricing tools""",15,0, --,0,0,0,0,0.00%,0,0,0
Mar-26,Paused,"""omnichannel pricing tools""",15,0, --,0,0,0,0,0.00%,0,0,0
Oct-25,Paused,"""price elasticity strategies""",15,0, --,0,0,0,0,0.00%,0,0,0
Nov-25,Paused,"""price elasticity strategies""",15,0, --,0,0,0,0,0.00%,0,0,0
Dec-25,Paused,"""price elasticity strategies""",15,0, --,0,0,0,0,0.00%,0,0,0
Jan-26,Paused,"""price elasticity strategies""",15,0, --,0,0,0,0,0.00%,0,0,0
Feb-26,Paused,"""price elasticity strategies""",15,0, --,0,0,0,0,0.00%,0,0,0
Mar-26,Paused,"""price elasticity strategies""",15,0, --,0,0,0,0,0.00%,0,0,0
Oct-25,Paused,"""price elasticity model""",15,0, --,0,0,0,0,0.00%,0,0,0
Nov-25,Paused,"""price elasticity model""",15,0, --,0,0,0,0,0.00%,0,0,0
Dec-25,Paused,"""price elasticity model""",15,0, --,0,0,0,0,0.00%,0,0,0
Jan-26,Paused,"""price elasticity model""",15,0, --,0,0,0,0,0.00%,0,0,0
Feb-26,Paused,"""price elasticity model""",15,0, --,0,0,0,0,0.00%,0,0,0
Mar-26,Paused,"""price elasticity model""",15,0, --,0,0,0,0,0.00%,0,0,0
Oct-25,Paused,"""price elasticity module""",15,0, --,0,0,0,0,0.00%,0,0,0
Nov-25,Paused,"""price elasticity module""",15,0, --,0,0,0,0,0.00%,0,0,0
Dec-25,Paused,"""price elasticity module""",15,0, --,0,0,0,0,0.00%,0,0,0
Jan-26,Paused,"""price elasticity module""",15,0, --,0,0,0,0,0.00%,0,0,0
Feb-26,Paused,"""price elasticity module""",15,0, --,0,0,0,0,0.00%,0,0,0
Mar-26,Paused,"""price elasticity module""",15,0, --,0,0,0,0,0.00%,0,0,0
Oct-25,Paused,"""price elasticity platform""",15,0, --,0,0,0,0,0.00%,0,0,0
Nov-25,Paused,"""price elasticity platform""",15,0, --,0,0,0,0,0.00%,0,0,0
Dec-25,Paused,"""price elasticity platform""",15,0, --,0,0,0,0,0.00%,0,0,0
Jan-26,Paused,"""price elasticity platform""",15,0, --,0,0,0,0,0.00%,0,0,0
Feb-26,Paused,"""price elasticity platform""",15,0, --,0,0,0,0,0.00%,0,0,0
Mar-26,Paused,"""price elasticity platform""",15,0, --,0,0,0,0,0.00%,0,0,0
Oct-25,Paused,"""price elasticity software""",15,0, --,0,0,0,0,0.00%,0,0,0
Nov-25,Paused,"""price elasticity software""",15,0, --,0,0,0,0,0.00%,0,0,0
Dec-25,Paused,"""price elasticity software""",15,0, --,0,0,0,0,0.00%,0,0,0
Jan-26,Paused,"""price elasticity software""",15,0, --,0,0,0,0,0.00%,0,0,0
Feb-26,Paused,"""price elasticity software""",15,0, --,0,0,0,0,0.00%,0,0,0
Mar-26,Paused,"""price elasticity software""",15,0, --,0,0,0,0,0.00%,0,0,0
Oct-25,Paused,"""price elasticity feature""",15,0, --,0,0,0,0,0.00%,0,0,0
Nov-25,Paused,"""price elasticity feature""",15,0, --,0,0,0,0,0.00%,0,0,0
Dec-25,Paused,"""price elasticity feature""",15,0, --,0,0,0,0,0.00%,0,0,0
Jan-26,Paused,"""price elasticity feature""",15,0, --,0,0,0,0,0.00%,0,0,0
Feb-26,Paused,"""price elasticity feature""",15,0, --,0,0,0,0,0.00%,0,0,0
Mar-26,Paused,"""price elasticity feature""",15,0, --,0,0,0,0,0.00%,0,0,0
Oct-25,Paused,"""Revenue management platform""",15,0, --,0,0,0,0,0.00%,0,0,0
Nov-25,Paused,"""Revenue management platform""",15,0, --,0,0,0,0,0.00%,0,0,0
Dec-25,Paused,"""Revenue management platform""",15,0, --,0,0,0,0,0.00%,0,0,0
Jan-26,Paused,"""Revenue management platform""",15,0, --,0,0,0,0,0.00%,0,0,0
Feb-26,Paused,"""Revenue management platform""",15,0, --,0,0,0,0,0.00%,0,0,0
Mar-26,Paused,"""Revenue management platform""",15,0, --,0,0,0,0,0.00%,0,0,0
Oct-25,Paused,"""Pricing Tool for Retailers""",15,0, --,0,0,0,0,0.00%,0,0,0
Nov-25,Paused,"""Pricing Tool for Retailers""",15,0, --,0,0,0,0,0.00%,0,0,0
Dec-25,Paused,"""Pricing Tool for Retailers""",15,0, --,0,0,0,0,0.00%,0,0,0
Jan-26,Paused,"""Pricing Tool for Retailers""",15,0, --,0,0,0,0,0.00%,0,0,0
Feb-26,Paused,"""Pricing Tool for Retailers""",15,0, --,0,0,0,0,0.00%,0,0,0
Mar-26,Paused,"""Pricing Tool for Retailers""",15,0, --,0,0,0,0,0.00%,0,0,0
Oct-25,Paused,"""retail automated pricing""",15,0, --,0,0,0,0,0.00%,0,0,0
Nov-25,Paused,"""retail automated pricing""",15,0, --,0,0,0,0,0.00%,0,0,0
Dec-25,Paused,"""retail automated pricing""",15,0, --,0,0,0,0,0.00%,0,0,0
Jan-26,Paused,"""retail automated pricing""",15,0, --,0,0,0,0,0.00%,0,0,0
Feb-26,Paused,"""retail automated pricing""",15,0, --,0,0,0,0,0.00%,0,0,0
Mar-26,Paused,"""retail automated pricing""",15,0, --,0,0,0,0,0.00%,0,0,0
Oct-25,Paused,"""open pricing software""",15,0, --,0,0,0,0,0.00%,0,0,0
Nov-25,Paused,"""open pricing software""",15,0, --,0,0,0,0,0.00%,0,0,0
Dec-25,Paused,"""open pricing software""",15,0, --,0,0,0,0,0.00%,0,0,0
Jan-26,Paused,"""open pricing software""",15,0, --,0,0,0,0,0.00%,0,0,0
Feb-26,Paused,"""open pricing software""",15,0, --,0,0,0,0,0.00%,0,0,0
Mar-26,Paused,"""open pricing software""",15,0, --,0,0,0,0,0.00%,0,0,0
Oct-25,Paused,"""d2c pricing platform""",15,0, --,0,0,0,0,0.00%,0,0,0
Nov-25,Paused,"""d2c pricing platform""",15,0, --,0,0,0,0,0.00%,0,0,0
Dec-25,Paused,"""d2c pricing platform""",15,0, --,0,0,0,0,0.00%,0,0,0
Jan-26,Paused,"""d2c pricing platform""",15,0, --,0,0,0,0,0.00%,0,0,0
Feb-26,Paused,"""d2c pricing platform""",15,0, --,0,0,0,0,0.00%,0,0,0
Mar-26,Paused,"""d2c pricing platform""",15,0, --,0,0,0,0,0.00%,0,0,0
Oct-25,Paused,"""b2c pricing platform""",15,0, --,0,0,0,0,0.00%,0,0,0
Nov-25,Paused,"""b2c pricing platform""",15,0, --,0,0,0,0,0.00%,0,0,0
Dec-25,Paused,"""b2c pricing platform""",15,0, --,0,0,0,0,0.00%,0,0,0
Jan-26,Paused,"""b2c pricing platform""",15,0, --,0,0,0,0,0.00%,0,0,0
Feb-26,Paused,"""b2c pricing platform""",15,0, --,0,0,0,0,0.00%,0,0,0
Mar-26,Paused,"""b2c pricing platform""",15,0, --,0,0,0,0,0.00%,0,0,0
Oct-25,Paused,"""omnichannel pricing platform""",15,0, --,0,0,0,0,0.00%,0,0,0
Nov-25,Paused,"""omnichannel pricing platform""",15,0, --,0,0,0,0,0.00%,0,0,0
Dec-25,Paused,"""omnichannel pricing platform""",15,0, --,0,0,0,0,0.00%,0,0,0
Jan-26,Paused,"""omnichannel pricing platform""",15,0, --,0,0,0,0,0.00%,0,0,0
Feb-26,Paused,"""omnichannel pricing platform""",15,0, --,0,0,0,0,0.00%,0,0,0
Mar-26,Paused,"""omnichannel pricing platform""",15,0, --,0,0,0,0,0.00%,0,0,0
Oct-25,Paused,"""open pricing platform""",15,0, --,0,0,0,0,0.00%,0,0,0
Nov-25,Paused,"""open pricing platform""",15,0, --,0,0,0,0,0.00%,0,0,0
Dec-25,Paused,"""open pricing platform""",15,0, --,0,0,0,0,0.00%,0,0,0
Jan-26,Paused,"""open pricing platform""",15,0, --,0,0,0,0,0.00%,0,0,0
Feb-26,Paused,"""open pricing platform""",15,0, --,0,0,0,0,0.00%,0,0,0
Mar-26,Paused,"""open pricing platform""",15,0, --,0,0,0,0,0.00%,0,0,0
Oct-25,Paused,"""ai based pricing platform""",15,0, --,0,0,0,0,0.00%,0,0,0
Nov-25,Paused,"""ai based pricing platform""",15,0, --,0,0,0,0,0.00%,0,0,0
Dec-25,Paused,"""ai based pricing platform""",15,0, --,0,0,0,0,0.00%,0,0,0
Jan-26,Paused,"""ai based pricing platform""",15,0, --,0,0,0,0,0.00%,0,0,0
Feb-26,Paused,"""ai based pricing platform""",15,0, --,0,0,0,0,0.00%,0,0,0
Mar-26,Paused,"""ai based pricing platform""",15,0, --,0,0,0,0,0.00%,0,0,0
Oct-25,Paused,"""automated pricing at scale""",15,0, --,0,0,0,0,0.00%,0,0,0
Nov-25,Paused,"""automated pricing at scale""",15,0, --,0,0,0,0,0.00%,0,0,0
Dec-25,Paused,"""automated pricing at scale""",15,0, --,0,0,0,0,0.00%,0,0,0
Jan-26,Paused,"""automated pricing at scale""",15,0, --,0,0,0,0,0.00%,0,0,0
Feb-26,Paused,"""automated pricing at scale""",15,0, --,0,0,0,0,0.00%,0,0,0
Mar-26,Paused,"""automated pricing at scale""",15,0, --,0,0,0,0,0.00%,0,0,0
Oct-25,Paused,"""price elasticity in retail""",15,0, --,0,0,0,0,0.00%,0,0,0
Nov-25,Paused,"""price elasticity in retail""",15,0, --,0,0,0,0,0.00%,0,0,0
Dec-25,Paused,"""price elasticity in retail""",15,0, --,0,0,0,0,0.00%,0,0,0
Jan-26,Paused,"""price elasticity in retail""",15,0, --,0,0,0,0,0.00%,0,0,0
Feb-26,Paused,"""price elasticity in retail""",15,0, --,0,0,0,0,0.00%,0,0,0
Mar-26,Paused,"""price elasticity in retail""",15,0, --,0,0,0,0,0.00%,0,0,0
Oct-25,Paused,"""RGM solution""",15,0, --,0,0,0,0,0.00%,0,0,0
Nov-25,Paused,"""RGM solution""",15,0, --,0,0,0,0,0.00%,0,0,0
Dec-25,Paused,"""RGM solution""",15,0, --,0,0,0,0,0.00%,0,0,0
Jan-26,Paused,"""RGM solution""",15,0, --,0,0,0,0,0.00%,0,0,0
Feb-26,Paused,"""RGM solution""",15,0, --,0,0,0,0,0.00%,0,0,0
Mar-26,Paused,"""RGM solution""",15,0, --,0,0,0,0,0.00%,0,0,0
Oct-25,Paused,"""automated pricing platform""",15,0, --,0,0,0,0,0.00%,0,0,0
Nov-25,Paused,"""automated pricing platform""",15,0, --,0,0,0,0,0.00%,0,0,0
Dec-25,Paused,"""automated pricing platform""",15,0, --,0,0,0,0,0.00%,0,0,0
Jan-26,Paused,"""automated pricing platform""",15,0, --,0,0,0,0,0.00%,0,0,0
Feb-26,Paused,"""automated pricing platform""",15,0, --,0,0,0,0,0.00%,0,0,0
Mar-26,Paused,"""automated pricing platform""",15,0, --,0,0,0,0,0.00%,0,0,0
Oct-25,Paused,"""omnichannel pricing software""",15,0, --,0,0,0,0,0.00%,0,0,0
Nov-25,Paused,"""omnichannel pricing software""",15,0, --,0,0,0,0,0.00%,0,0,0
Dec-25,Paused,"""omnichannel pricing software""",15,0, --,0,0,0,0,0.00%,0,0,0
Jan-26,Paused,"""omnichannel pricing software""",15,0, --,0,0,0,0,0.00%,0,0,0
Feb-26,Paused,"""omnichannel pricing software""",15,0, --,0,0,0,0,0.00%,0,0,0
Mar-26,Paused,"""omnichannel pricing software""",15,0, --,0,0,0,0,0.00%,0,0,0
Oct-25,Paused,"""algorithmic pricing software""",15,0, --,0,0,0,0,0.00%,0,0,0
Nov-25,Paused,"""algorithmic pricing software""",15,0, --,0,0,0,0,0.00%,0,0,0
Dec-25,Paused,"""algorithmic pricing software""",15,0, --,0,0,0,0,0.00%,0,0,0
Jan-26,Paused,"""algorithmic pricing software""",15,0, --,0,0,0,0,0.00%,0,0,0
Feb-26,Paused,"""algorithmic pricing software""",15,0, --,0,0,0,0,0.00%,0,0,0
Mar-26,Paused,"""algorithmic pricing software""",15,0, --,0,0,0,0,0.00%,0,0,0
Oct-25,Paused,"""d2c pricing""",15,0, --,0,0,0,0,0.00%,0,0,0
Nov-25,Paused,"""d2c pricing""",15,0, --,0,0,0,0,0.00%,0,0,0
Dec-25,Paused,"""d2c pricing""",15,0, --,0,0,0,0,0.00%,0,0,0
Jan-26,Paused,"""d2c pricing""",15,0, --,0,0,0,0,0.00%,0,0,0
Feb-26,Paused,"""d2c pricing""",15,0, --,0,0,0,0,0.00%,0,0,0
Mar-26,Paused,"""d2c pricing""",15,0, --,0,0,0,0,0.00%,0,0,0
Oct-25,Paused,"""d2c pricing software""",15,0, --,0,0,0,0,0.00%,0,0,0
Nov-25,Paused,"""d2c pricing software""",15,0, --,0,0,0,0,0.00%,0,0,0
Dec-25,Paused,"""d2c pricing software""",15,0, --,0,0,0,0,0.00%,0,0,0
Jan-26,Paused,"""d2c pricing software""",15,0, --,0,0,0,0,0.00%,0,0,0
Feb-26,Paused,"""d2c pricing software""",15,0, --,0,0,0,0,0.00%,0,0,0
Mar-26,Paused,"""d2c pricing software""",15,0, --,0,0,0,0,0.00%,0,0,0
Oct-25,Paused,"""AI pricing optimization for Retail""",15,0, --,0,0,0,0,0.00%,0,0,0
Nov-25,Paused,"""AI pricing optimization for Retail""",15,0, --,0,0,0,0,0.00%,0,0,0
Dec-25,Paused,"""AI pricing optimization for Retail""",15,0, --,0,0,0,0,0.00%,0,0,0
Jan-26,Paused,"""AI pricing optimization for Retail""",15,0, --,0,0,0,0,0.00%,0,0,0
Feb-26,Paused,"""AI pricing optimization for Retail""",15,0, --,0,0,0,0,0.00%,0,0,0
Mar-26,Paused,"""AI pricing optimization for Retail""",15,0, --,0,0,0,0,0.00%,0,0,0
Oct-25,Paused,"""AI pricing management for Retail""",15,0, --,0,0,0,0,0.00%,0,0,0
Nov-25,Paused,"""AI pricing management for Retail""",15,0, --,0,0,0,0,0.00%,0,0,0
Dec-25,Paused,"""AI pricing management for Retail""",15,0, --,0,0,0,0,0.00%,0,0,0
Jan-26,Paused,"""AI pricing management for Retail""",15,0, --,0,0,0,0,0.00%,0,0,0
Feb-26,Paused,"""AI pricing management for Retail""",15,0, --,0,0,0,0,0.00%,0,0,0
Mar-26,Paused,"""AI pricing management for Retail""",15,0, --,0,0,0,0,0.00%,0,0,0
Oct-25,Paused,"""AI pricing automation for Retail""",15,0, --,0,0,0,0,0.00%,0,0,0
Nov-25,Paused,"""AI pricing automation for Retail""",15,0, --,0,0,0,0,0.00%,0,0,0
Dec-25,Paused,"""AI pricing automation for Retail""",15,0, --,0,0,0,0,0.00%,0,0,0
Jan-26,Paused,"""AI pricing automation for Retail""",15,0, --,0,0,0,0,0.00%,0,0,0
Feb-26,Paused,"""AI pricing automation for Retail""",15,0, --,0,0,0,0,0.00%,0,0,0
Mar-26,Paused,"""AI pricing automation for Retail""",15,0, --,0,0,0,0,0.00%,0,0,0
Oct-25,Paused,"""markdown pricing tools""",15,0, --,0,0,0,0,0.00%,0,0,0
Nov-25,Paused,"""markdown pricing tools""",15,0, --,0,0,0,0,0.00%,0,0,0
Dec-25,Paused,"""markdown pricing tools""",15,0, --,0,0,0,0,0.00%,0,0,0
Jan-26,Paused,"""markdown pricing tools""",15,0, --,0,0,0,0,0.00%,0,0,0
Feb-26,Paused,"""markdown pricing tools""",15,0, --,0,0,0,0,0.00%,0,0,0
Mar-26,Paused,"""markdown pricing tools""",15,0, --,0,0,0,0,0.00%,0,0,0
Oct-25,Paused,"""retail pricing platform""",15,0, --,0,0,0,0,0.00%,0,0,0
Nov-25,Paused,"""retail pricing platform""",15,0, --,0,0,0,0,0.00%,0,0,0
Dec-25,Paused,"""retail pricing platform""",15,0, --,0,0,0,0,0.00%,0,0,0
Jan-26,Paused,"""retail pricing platform""",15,0, --,0,0,0,0,0.00%,0,0,0
Feb-26,Paused,"""retail pricing platform""",15,0, --,0,0,0,0,0.00%,0,0,0
Mar-26,Paused,"""retail pricing platform""",15,0, --,0,0,0,0,0.00%,0,0,0
Oct-25,Paused,"""markdown pricing platform""",15,0, --,0,0,0,0,0.00%,0,0,0
Nov-25,Paused,"""markdown pricing platform""",15,0, --,0,0,0,0,0.00%,0,0,0
Dec-25,Paused,"""markdown pricing platform""",15,0, --,0,0,0,0,0.00%,0,0,0
Jan-26,Paused,"""markdown pricing platform""",15,0, --,0,0,0,0,0.00%,0,0,0
Feb-26,Paused,"""markdown pricing platform""",15,0, --,0,0,0,0,0.00%,0,0,0
Mar-26,Paused,"""markdown pricing platform""",15,0, --,0,0,0,0,0.00%,0,0,0
Oct-25,Paused,"""price elasticity optimization""",15,0, --,0,0,0,0,0.00%,0,0,0
Nov-25,Paused,"""price elasticity optimization""",15,0, --,0,0,0,0,0.00%,0,0,0
Dec-25,Paused,"""price elasticity optimization""",15,0, --,0,0,0,0,0.00%,0,0,0
Jan-26,Paused,"""price elasticity optimization""",15,0, --,0,0,0,0,0.00%,0,0,0
Feb-26,Paused,"""price elasticity optimization""",15,0, --,0,0,0,0,0.00%,0,0,0
Mar-26,Paused,"""price elasticity optimization""",15,0, --,0,0,0,0,0.00%,0,0,0
Oct-25,Paused,"""Pricing Platform""",15,0, --,0,0,0,0,0.00%,0,0,0
Nov-25,Paused,"""Pricing Platform""",15,0, --,0,0,0,0,0.00%,0,0,0
Dec-25,Paused,"""Pricing Platform""",15,0, --,0,0,0,0,0.00%,0,0,0
Jan-26,Paused,"""Pricing Platform""",15,0, --,0,0,0,0,0.00%,0,0,0
Feb-26,Paused,"""Pricing Platform""",15,0, --,0,0,0,0,0.00%,0,0,0
Mar-26,Paused,"""Pricing Platform""",15,0, --,0,0,0,0,0.00%,0,0,0
Oct-25,Paused,"""price elasticity tool""",15,0, --,0,0,0,0,0.00%,0,0,0
Nov-25,Paused,"""price elasticity tool""",15,0, --,0,0,0,0,0.00%,0,0,0
Dec-25,Paused,"""price elasticity tool""",15,0, --,0,0,0,0,0.00%,0,0,0
Jan-26,Paused,"""price elasticity tool""",15,0, --,0,0,0,0,0.00%,0,0,0
Feb-26,Paused,"""price elasticity tool""",15,0, --,0,0,0,0,0.00%,0,0,0
Mar-26,Paused,"""price elasticity tool""",15,0, --,0,0,0,0,0.00%,0,0,0
Oct-25,Paused,"""automated pricing system""",15,0, --,0,0,0,0,0.00%,0,0,0
Nov-25,Paused,"""automated pricing system""",15,0, --,0,0,0,0,0.00%,0,0,0
Dec-25,Paused,"""automated pricing system""",15,0, --,0,0,0,0,0.00%,0,0,0
Jan-26,Paused,"""automated pricing system""",15,0, --,0,0,0,0,0.00%,0,0,0
Feb-26,Paused,"""automated pricing system""",15,0, --,0,0,0,0,0.00%,0,0,0
Mar-26,Paused,"""automated pricing system""",15,0, --,0,0,0,0,0.00%,0,0,0
Oct-25,Paused,"""automated pricing software""",15,0, --,0,0,0,0,0.00%,0,0,0
